iter	Passed	Remaining
710	2304	936
711	2307	933
712	2309	929
713	2311	925
714	2313	922
715	2314	918
716	2320	915
717	2322	912
718	2324	908
719	2326	904
720	2328	901
721	2330	897
722	2335	894
723	2354	897
724	2356	893
725	2358	890
726	2360	886
727	2361	882
728	2368	880
729	2370	876
730	2372	873
731	2375	869
732	2378	866
733	2387	865
734	2389	861
735	2392	858
736	2394	854
737	2398	851
738	2401	848
739	2405	845
740	2407	841
741	2408	837
742	2414	835
743	2417	831
744	2419	828
745	2420	824
746	2422	820
747	2424	816
748	2430	814
749	2432	810
750	2434	807
751	2436	803
752	2438	799
753	2439	796
754	2444	793
755	2446	789
756	2447	785
757	2449	782
758	2451	778
759	2453	774
760	2455	771
761	2457	767
762	2463	765
763	2465	761
764	2467	757
765	2469	754
766	2471	750
767	2476	748
768	2479	744
769	2481	741
770	2483	737
771	2484	733
772	2486	730
773	2490	727
774	2493	724
775	2498	721
776	2499	717
777	2501	713
778	2507	711
779	2510	708
780	2512	704
781	2513	700
782	2515	697
783	2517	693
784	2522	690
785	2527	688
786	2530	684
787	2532	681
788	2534	677
789	2539	674
790	2540	671
791	2542	667
792	2544	664
793	2546	660
794	2548	657
795	2555	654
796	2557	651
797	2559	647
798	2560	644
799	2562	640
800	2564	637
801	2569	634
802	2583	633
803	2586	630
804	2590	627
805	2592	623
806	2594	620
807	2599	617
808	2602	614
809	2604	610
810	2606	607
811	2608	603
812	2610	600
813	2615	597
814	2617	594
815	2619	590
816	2622	587
817	2625	584
818	2630	581
819	2633	578
820	2636	574
821	2638	571
822	2640	567
823	2647	565
824	2649	562
825	2651	558
826	2653	555
827	2655	551
828	2656	548
829	2661	545
830	2664	541
831	2665	538
832	2667	534
833	2669	531
834	2671	527
835	2674	524
836	2678	521
837	2680	518
838	2682	514
839	2683	511
840	2685	507
841	2687	504
842	2695	502
843	2699	499
844	2701	495
845	2703	492
846	2709	489
847	2712	486
848	2714	482
849	2715	479
850	2717	475
851	2720	472
852	2723	469
853	2724	465
854	2726	462
855	2728	459
856	2730	455
857	2732	452
858	2738	449
859	2740	446
860	2742	442
861	2744	439
862	2746	435
863	2748	432
864	2752	429
865	2754	426
866	2756	422
867	2758	419
868	2760	416
869	2761	412
870	2769	410
871	2771	406
872	2775	403
873	2786	401
874	2789	398
875	2793	395
876	2795	392
877	2800	389
878	2821	388
879	2823	385
880	2825	381
881	2827	378
882	2830	375
883	2835	372
884	2837	368
885	2839	365
886	2841	362
887	2843	358
888	2848	355
889	2850	352
890	2852	348
891	2854	345
892	2856	342
893	2858	338
894	2863	335
895	2865	332
896	2868	329
897	2870	325
898	2871	322
899	2873	319
900	2882	316
901	2885	313
902	2888	310
903	2890	306
904	2897	304
905	2899	300
906	2901	297
907	2903	294
908	2905	290
909	2910	287
910	2912	284
911	2913	281
912	2915	277
913	2917	274
914	2919	271
915	2920	267
916	2927	264
917	2930	261
918	2933	258
919	2935	255
920	2937	251
921	2942	248
922	2944	245
923	2945	242
924	2947	238
925	2949	235
926	2951	232
927	2953	229
928	2957	226
929	2959	222
930	2962	219
931	2963	216
932	2965	212
933	2967	209
934	2974	206
935	2976	203
936	2978	200
937	2980	196
938	2982	193
939	2985	190
940	2989	187
941	2992	184
942	2995	181
943	2997	177
944	2999	174
945	3005	171
946	3007	168
947	3008	165
948	3010	161
949	3012	158
950	3018	155
951	3021	152
952	3023	149
953	3025	145
954	3027	142
955	3029	139
956	3041	136
957	3051	133
958	3053	130
959	3055	127
960	3057	124
961	3059	120
962	3061	117
963	3066	114
964	3069	111
965	3072	108
966	3074	104
967	3076	101
968	3080	98
969	3084	95
970	3088	92
971	3089	89
972	3091	85
973	3098	82
974	3100	79
975	3102	76
976	3104	73
977	3105	69
978	3107	66
979	3117	63
980	3119	60
981	3121	57
982	3125	54
983	3129	50
984	3130	47
985	3132	44
986	3134	41
987	3136	38
988	3138	34
989	3143	31
990	3145	28
991	3147	25
992	3149	22
993	3151	19
994	3152	15
995	3158	12
996	3161	9
997	3163	6
998	3165	3
999	3167	0
